equipment_id,description,scaled_parameter_unit,scale_factor_n,base_size,base_cost_1998Q1_USD,valid_min,valid_max,r_squared,rel_rmse,n_data_points,reliable,caution,material_basis,location_basis,cost_basis_year,cost_basis_CEPCI,source
agitator,"Fixed propeller mixer, 1800 rpm, incl. motor, gear drive, shaft, impeller",hp,0.5388,23.92,24900.0,2.0,100.0,0.9537,0.1669,6,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
blower_rotary,"Rotary (lobe) blower, CI casing / ductile iron impellers, 8 psig exit, incl. silencers",actual ft3/min,0.5392,1031.0,16035.0,100.0,4000.0,0.9933,0.0542,6,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
boiler_package_steam,"Package steam boiler, 250 psig, 100 F superheat, shop assembled",lb/h steam,0.6391,85340.0,325190.0,10000.0,300000.0,0.9842,0.0933,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
centrifuge_vibratory,"Continuous filtration vibratory centrifuge, CS",in screen dia.,3.1593,51.92,75112.0,48.0,56.0,1.0,0.0003,5,False,exponent outside 0.25-1.05; narrow size span (1.2x),carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
compressor_centrifugal_150psia,"Centrifugal compressor, 7-9 stages, 150 psia discharge, motor driver",actual ft3/min,0.5432,15730.0,3839400.0,500.0,200000.0,0.9,0.443,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
compressor_centrifugal_1900psia,"Centrifugal compressor, 9 stages, 1900 psia discharge, motor driver",actual ft3/min,0.3675,3272.0,2545500.0,500.0,15000.0,0.9074,0.167,5,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
compressor_centrifugal_50psia,"Centrifugal compressor, 4 stages, 50 psia discharge, air (MW 29), motor driver",actual ft3/min,0.4897,15730.0,2085500.0,500.0,200000.0,0.9077,0.3688,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
compressor_recip_440psia,"Reciprocating compressor, 3 stages, 440 psia discharge, MW 30",actual ft3/min,0.5802,3420.0,1022500.0,250.0,35000.0,0.9391,0.286,7,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
compressor_recip_5000psia,"Reciprocating compressor, 3 stages, 5000 psia discharge, MW 30",actual ft3/min,0.7766,1343.0,1317400.0,250.0,7000.0,0.9946,0.0769,5,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
compressor_recip_60psia,"Reciprocating compressor, 1 stage, 60 psia discharge, MW 30",actual ft3/min,0.5842,5115.0,832610.0,250.0,60000.0,0.9519,0.2796,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
cooling_tower,"Factory-assembled cooling tower incl. fans, drivers, basin; 15 F range / 10 F approach",gal/min,0.886,1391.0,25868.0,150.0,6000.0,0.9975,0.0549,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
crusher_gyratory,Gyratory crusher (hard/medium-hard feed) incl. motor and drive,hp,1.3889,335.2,636350.0,40.0,1250.0,0.9963,0.0958,6,False,exponent outside 0.25-1.05,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
crusher_ring_granulator,"Ring granulator (coal, lignite, gypsum) incl. motor and drive",hp,0.9372,347.4,110970.0,75.0,1250.0,0.99,0.0961,6,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
dryer_rotary_direct,Direct-contact rotary dryer incl. motor and drive,ft2,0.9538,705.1,170780.0,100.0,2000.0,1.0,0.0003,6,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
evaporator_horizontal_tube,"Standard horizontal-tube evaporator, CS",ft2,0.5301,2743.0,199800.0,100.0,10000.0,1.0,0.0005,12,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
evaporator_vertical_tube,"Standard vertical-tube evaporator, CS",ft2,0.5494,1565.0,283750.0,100.0,6000.0,1.0,0.0001,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
fan_centrifugal,"Centrifugal fan, CS, 6 in H2O exit pressure, 1800 rpm",actual ft3/min,0.7346,16130.0,6199.8,700.0,150000.0,0.9381,0.3622,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
filter_cartridge,"Cartridge filter, 5 micron cotton element",ft3/min,0.5072,289.0,3045.4,30.0,1200.0,0.9575,0.1471,6,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
filter_rotary_drum_vacuum,"Rotary vacuum drum filter, multi-compartment, PP cloth, medium filtration rate",ft2,0.4134,600.4,130880.0,100.0,2000.0,0.9956,0.0268,7,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
filter_tubular_fabric,"Tubular fabric filter (baghouse), bank of three, no auto-clean",ft3/min,0.6525,1183.0,27562.0,100.0,3400.0,1.0,0.0005,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
furnace_fired_heater,"Gas/oil fired vertical cylindrical process heater, refractory lined, 500 psig",MMBtu/h,0.6407,67.73,931580.0,2.0,500.0,0.9836,0.1474,9,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
hx_air_cooler,"Air cooler (fin-fan), CS tubes, 150 psig, 300 F inlet",ft2 bare tube,0.533,1022.0,49781.0,100.0,10000.0,0.9479,0.155,15,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
hx_shell_tube,"Shell & tube heat exchanger, floating/fixed head, CS, 150 psig, 650 F",ft2,0.7077,3455.0,66278.0,100.0,70000.0,0.9516,0.2725,26,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
hx_spiral_plate,"Spiral plate heat exchanger, SS304, 150 psig",ft2,0.6596,258.9,19267.0,40.0,700.0,0.9645,0.1192,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
mill_ball,"Ball mill incl. bearings, gears, lube system, initial ball charge",hp,0.7414,97.4,174810.0,7.5,450.0,0.9958,0.0703,8,True,,carbon steel,US Gulf Coast,1998,389.5,DOE/NETL-2002/1169 Appendix B
