technology,category_applicability,account,item,scaling_parameter,unit,exponent,range_min,range_max,note
PC,1/2,1.1,Coal Receive & Unload,Coal feed rate,lb/h,0.62,472000,635000,
PC,1/2,1.2,Coal Stackout & Reclaim,Coal feed rate,lb/h,0.62,472000,635000,
PC,1/2,1.3,Coal Conveyors & Yard Crushing,Coal feed rate,lb/h,0.62,472000,635000,
PC,1/2,1.4,Other Coal Handling,Coal feed rate,lb/h,0.62,472000,635000,
PC,1,1.5,Sorbent Receive & Unload,Limestone feed rate,lb/h,0.66,45600,61400,
PC,2,1.5,Sorbent Receive & Unload,Limestone feed rate,lb/h,0.62,45600,61400,
PC,1/2,1.6,Sorbent Stackout & Reclaim,Limestone feed rate,lb/h,0.64,45600,61400,
PC,1,1.7,Sorbent Conveyors,Limestone feed rate,lb/h,0.65,45600,61400,
PC,2,1.7,Sorbent Conveyors,Limestone feed rate,lb/h,0.64,45600,61400,
PC,1/2,1.8,Other Sorbent Handling,Limestone feed rate,lb/h,0.64,45600,61400,
PC,1/2,1.9,Coal & Sorbent Handling Foundations,Coal + limestone feed rate,lb/h,0.62,517700,695800,
PC,1/2,2.1,Coal Crushing & Drying,Coal feed rate,lb/h,0.66,472000,635000,
PC,1/2,2.2,Prepared Coal Storage & Feed,Coal feed rate,lb/h,0.66,472000,635000,
PC,1/2,2.5,Sorbent Preparation Equipment,Limestone feed rate,lb/h,0.65,45600,61400,
PC,1/2,2.6,Sorbent Storage & Feed,Limestone feed rate,lb/h,0.65,45600,61400,
PC,1/2,2.9,Coal & Sorbent Feed Foundation,Coal + limestone feed rate,lb/h,0.64,517700,695800,
PC,1,3.1,Feedwater System,Feedwater flow (HP only),lb/h,0.69,4120000,5317000,
PC,2,3.1,Feedwater System,Feedwater flow (HP only),lb/h,0.68,4120000,5317000,
PC,1,3.2,Water Makeup & Pretreating,Raw water withdrawal,gpm,0.73,6000,10700,
PC,2,3.2,Water Makeup & Pretreating,Raw water withdrawal,gpm,0.75,6000,10700,
PC,1/2,3.3,Other Feedwater Subsystems,Feedwater flow (HP only),lb/h,0.89,4120000,5317000,
PC,1/2,3.4,Service Water Systems,Raw water withdrawal,gpm,0.8,6000,10700,
PC,1/2,3.5,Other Boiler Plant Systems,Feedwater flow (HP only),lb/h,0.9,4120000,5317000,
PC,1,3.6,Natural Gas Pipeline and Start-up System,Total fuel feed,lb/h,0.49,472000,635000,
PC,2,3.6,Natural Gas Pipeline and Start-up System,Total fuel feed,lb/h,0.51,472000,635000,
PC,1,3.7,Waste Water Treatment Equipment,Process water discharge,gpm,0.71,1200,3100,
PC,2,3.7,Waste Water Treatment Equipment,Process water discharge,gpm,0.73,1200,3100,
PC,1/2,3.8,Spray Dryer Evaporator,Gas flow to SDE,acfm,0.75,123000,166000,
PC,1/2,3.9,Miscellaneous Plant Equipment,Total fuel feed,lb/h,0.25,472000,635000,
PC,1,4.9,PC Boiler & Accessories (air-fired),Feedwater flow (HP only),lb/h,0.76,4120000,5317000,"No Rev-4 guidance exists for CFBC, oxy-fired PC or PC with biomass."
PC,2,4.9,PC Boiler & Accessories (air-fired),Feedwater flow (HP only),lb/h,0.78,4120000,5317000,"No Rev-4 guidance exists for CFBC, oxy-fired PC or PC with biomass."
PC,1/2,4.10,SCR System,Gas flow to DSI,acfm,0.69,2489900,3346700,
PC,1/2,4.11,Boiler Balance of Plant,Coal feed rate,lb/h,0.69,472000,635000,
PC,1/2,4.12,Primary Air System,Primary air flow rate,acfm,0.69,249300,335200,
PC,1/2,4.13,Secondary Air System,Forced draft air flow rate,acfm,0.69,811700,1091100,
PC,1/2,4.14,Induced Draft Fans,Gas flow from baghouse,acfm,0.69,1717500,2308500,
PC,1/2,4.15,Major Component Rigging,Coal feed rate,lb/h,0.69,472000,635000,
PC,1/2,4.16,Boiler Foundations,Coal feed rate,lb/h,0.69,472000,635000,
PC,1/2,5.1,Cansolv CO2 Removal System,CO2 product flow rate / gas flow to CO2 absorber,"lb/h, acfm",0.6,1281000,1348000,"BLENDED: 60% of cost scales on CO2 product flow (lb/h, 1,281,000-1,348,000); 40% on gas flow to CO2 absorber (acfm, 1,865,000-1,962,000). Use blend=True."
PC,1/2,5.2,Wet FGD Absorber Vessels & Accessories,Wet FGD exit gas flow,acfm,0.73,1459000,1962000,
PC,1/2,5.3,Other FGD,Wet FGD exit gas flow,acfm,0.73,1459000,1962000,
PC,1/2,5.4,CO2 Compression & Drying,CO2 compressor load,kW,0.61,17000,46700,"Valid only at the modelled suction (28.9 psia) and discharge (2,214.7 psia) pressures."
PC,1/2,5.5,CO2 Compressor Aftercooler,CO2 aftercooler duty,MMBtu/h,0.83,32,88,
PC,1,5.6,Mercury Removal (DSI/ACI),Brominated activated carbon injection rate,tpd,0.78,1.2,1.7,
PC,2,5.6,Mercury Removal (DSI/ACI),Brominated activated carbon injection rate,tpd,0.8,1.2,1.7,
PC,1/2,5.9,Particulate Removal (baghouse & accessories),Gas flow to baghouse,acfm,0.79,1691000,2274000,
PC,1/2,5.12,Gas Cleanup Foundations,Coal feed rate,lb/h,0.79,472000,635000,
PC,1,5.13,Gypsum Dewatering System,Gypsum production rate,tpd,0.58,830,1120,
PC,2,5.13,Gypsum Dewatering System,Gypsum production rate,tpd,0.6,830,1120,
PC,1/2,7.3,Ductwork,Total fuel feed,lb/h,0.29,472000,635000,
PC,1/2,7.4,Stack,Gas flow to stack,acfm,0.06,1314000,1522000,
PC,1/2,7.5,Duct & Stack Foundations,Total fuel feed,lb/h,0.06,472000,635000,
PC,1/2,8.1,Steam Turbine Generator & Accessories,Steam turbine gross power,kW,0.7,685000,776000,
PC,1,8.2,Steam Turbine Plant Auxiliaries,Steam turbine gross power,kW,0.7,685000,776000,
PC,2,8.2,Steam Turbine Plant Auxiliaries,Steam turbine gross power,kW,0.71,685000,776000,
PC,1,8.3a,Condenser & Auxiliaries,Condenser duty,MMBtu/h,1.04,2010,2650,
PC,2,8.3a,Condenser & Auxiliaries,Condenser duty,MMBtu/h,0.86,2010,2650,
PC,1/2,8.3b,Air Cooled Condenser,Condenser duty,MMBtu/h,n/a,0,0,Revision 4 cases use wet cooling exclusively; no scaling guidance developed.
PC,1/2,8.4,Steam Piping,Feedwater flow (HP only),lb/h,0.7,4120000,5317000,
PC,1/2,8.5,Turbine Generator Foundations,Steam turbine gross power,kW,0.71,685000,776000,
PC,1,9.1,Cooling Towers,Cooling tower duty,MMBtu/h,0.77,2550,4880,
PC,2,9.1,Cooling Towers,Cooling tower duty,MMBtu/h,0.76,2550,4880,
PC,1/2,9.2,Circulating Water Pumps,Circulating water flow rate,gpm,0.86,255000,498000,
PC,1/2,9.3,Circ. Water System Auxiliaries,Circulating water flow rate,gpm,0.63,255000,498000,
PC,1/2,9.4,Circ. Water Piping,Circulating water flow rate,gpm,0.63,255000,498000,
PC,1/2,9.5,Make-up Water System,Raw water withdrawal,gpm,0.49,6000,10700,
PC,1/2,9.6,Component Cooling Water System,Circulating water flow rate,gpm,0.63,255000,498000,
PC,1/2,9.7,Circ. Water System Foundations,Circulating water flow rate,gpm,0.58,255000,498000,
PC,1/2,10.6,Ash Storage Silos,Total ash flow rate,lb/h,0.56,52000,70400,
PC,1/2,10.7,Ash Transport & Feed Equipment,Total ash flow rate,lb/h,0.56,52000,70400,
PC,1/2,10.9,Ash / Spent Sorbent Foundation,Total ash flow rate,lb/h,0.56,52000,70400,
PC,1/2,11.1,Generator Equipment,Steam turbine gross power,kW,0.57,685000,776000,
PC,1/2,11.2,Station Service Equipment,Auxiliary load,kW,0.43,35000,125800,
PC,1/2,11.3,Switchgear & Motor Control,Auxiliary load,kW,0.43,35000,125800,
PC,1/2,11.4,Conduit & Cable Tray,Auxiliary load,kW,0.43,35000,125800,
PC,1/2,11.5,Wire & Cable,Auxiliary load,kW,0.43,35000,125800,
PC,1/2,11.6,Protective Equipment,Auxiliary load,kW,0.0,35000,125800,Fixed cost.
PC,1/2,11.7,Standby Equipment,Steam turbine gross power,kW,0.46,685000,776000,
PC,1/2,11.8,Main Power Transformers,STG rating,MVA,0.7,760,860,
PC,1/2,11.9,Electrical Foundations,Steam turbine gross power,kW,0.69,685000,776000,
PC,1/2,12.1,PC Boiler Control Equipment,Auxiliary load,kW,0.13,35000,125800,I&C is largely a fixed cost; exponent 0.13 barely responds to plant size.
PC,1/2,12.3,Steam Turbine Control Equipment,Auxiliary load,kW,0.13,35000,125800,I&C is largely a fixed cost; exponent 0.13 barely responds to plant size.
PC,1/2,12.5,Signal Processing Equipment,Auxiliary load,kW,0.13,35000,125800,I&C is largely a fixed cost; exponent 0.13 barely responds to plant size.
PC,1/2,12.6,"Control Boards, Panels & Racks",Auxiliary load,kW,0.13,35000,125800,I&C is largely a fixed cost; exponent 0.13 barely responds to plant size.
PC,1/2,12.7,Distributed Control System Equipment,Auxiliary load,kW,0.13,35000,125800,I&C is largely a fixed cost; exponent 0.13 barely responds to plant size.
PC,1/2,12.8,Instrument Wiring & Tubing,Auxiliary load,kW,0.13,35000,125800,I&C is largely a fixed cost; exponent 0.13 barely responds to plant size.
PC,1/2,12.9,Other I&C Equipment,Auxiliary load,kW,0.13,35000,125800,I&C is largely a fixed cost; exponent 0.13 barely responds to plant size.
PC,1/2,13.1,Site Preparation,BEC (minus accounts 13 and 14),$1000,0.2,883600,1622000,
PC,1/2,13.2,Site Improvements,BEC (minus accounts 13 and 14),$1000,0.2,883600,1622000,
PC,1/2,13.3,Site Facilities,BEC (minus accounts 13 and 14),$1000,0.2,883600,1622000,
PC,1/2,14.2,Boiler Building,BEC (minus accounts 13 and 14),$1000,0.0,883600,1622000,
PC,1/2,14.3,Steam Turbine Building,BEC (minus accounts 13 and 14),$1000,0.0,883600,1622000,
PC,1/2,14.4,Administration Building,Steam turbine gross power,kW,0.0,685000,776000,
PC,1,14.5,Circulation Water Pumphouse,Circulating water flow rate,gpm,0.6,255000,498000,
PC,2,14.5,Circulation Water Pumphouse,Circulating water flow rate,gpm,0.59,255000,498000,
PC,1/2,14.6,Water Treatment Buildings,Raw water withdrawal,gpm,0.5,6000,10700,
PC,1/2,14.7,Machine Shop,Steam turbine gross power,kW,0.0,685000,776000,
PC,1/2,14.8,Warehouse,Steam turbine gross power,kW,0.0,685000,776000,
PC,1/2,14.9,Other Buildings & Structures,Steam turbine gross power,kW,0.0,685000,776000,
PC,1/2,14.10,Waste Treating Building & Structures,Raw water withdrawal,gpm,0.05,6000,10700,
IGCC,3/4/5,1.1,Coal Receive & Unload,Coal feed rate,lb/h,0.62,435000,483000,
IGCC,3/4/5,1.2,Coal Stackout & Reclaim,Coal feed rate,lb/h,0.62,435000,483000,
IGCC,3/4/5,1.3,Coal Conveyors & Yard Crush,Coal feed rate,lb/h,0.62,435000,483000,
IGCC,3/4/5,1.4,Other Coal Handling,Coal feed rate,lb/h,0.62,435000,483000,
IGCC,3/4/5,1.9,Coal & Sorbent Handling Foundations,Coal feed rate,lb/h,0.62,435000,483000,
IGCC,3/4/5,2.1,Coal Crushing & Drying,Coal feed rate,lb/h,0.66,435000,483000,
IGCC,3/4/5,2.2,Prepared Coal Storage & Feed,Coal feed rate,lb/h,0.66,435000,483000,
IGCC,3/4/5,2.3,Dry / Slurry Coal Injection System,Coal feed rate,lb/h,0.66,435000,483000,
IGCC,3/4/5,2.4,Miscellaneous Coal Prep & Feed,Coal feed rate,lb/h,0.66,435000,483000,
IGCC,3/4/5,2.9,Coal & Sorbent Feed Foundation,Coal feed rate,lb/h,0.66,435000,483000,
IGCC,3/4/5,3.1,Feedwater System,Feedwater flow (HP only),lb/h,0.71,839700,1597000,
IGCC,3/4/5,3.2,Water Makeup & Pretreating,Raw water withdrawal,gpm,0.71,4100,6300,
IGCC,3/4/5,3.3,Other Feedwater Subsystems,Feedwater flow (HP only),lb/h,0.71,839700,1597000,
IGCC,3/4/5,3.4,Service Water Systems,Raw water withdrawal,gpm,0.71,4100,6300,
IGCC,3/4/5,3.5,Other Boiler Plant Systems,Feedwater flow (HP only),lb/h,0.73,839700,1597000,
IGCC,3/4/5,3.6,Natural Gas Pipeline and Start-Up System,Coal feed rate,lb/h,0.24,435000,483000,
IGCC,3/4/5,3.7,Waste Water Treatment Equipment,Process water discharge,gpm,0.71,900,1220,
IGCC,3/4/5,3.8,"Vacuum Flash, Brine Concentrator & Crystallizer",Syngas scrubber blowdown flow rate,gpm,0.76,275,635,
IGCC,3/4/5,3.9,Miscellaneous Plant Equipment,Coal feed rate,lb/h,0.24,435000,483000,
IGCC,3,4.1,Gasifier & Auxiliaries,Coal feed rate,lb/h,0.19,435000,483000,"Category 4 is nuanced: use 0.70 for general changes; use 0.00 for small changes within a set gasifier feed rate (<=18,200 lb/h / 220 tpd), since gasifiers are marketed at fixed inlet rates; and for changes large enough to add or remove a full train (e.g. +/-50%), multiply the reference cost by the train-count ratio (x1.5 to add one of two trains, x0.5 to remove one)."
