year,quarter,rsmeans_hci,note
2020,1,239.1,Jan 1993 = 100
2020,2,235.6,Jan 1993 = 100
2020,3,234.6,Jan 1993 = 100
2020,4,235.5,Jan 1993 = 100
2021,1,238.3,Jan 1993 = 100
2021,2,241.7,Jan 1993 = 100
2021,3,257.5,Jan 1993 = 100
2021,4,266.6,Jan 1993 = 100
2022,1,276.9,Jan 1993 = 100
2022,2,289.4,Jan 1993 = 100
2022,3,297.1,Jan 1993 = 100
2022,4,298.8,Jan 1993 = 100
2023,1,299.4,Jan 1993 = 100
2023,2,294.8,Jan 1993 = 100
2023,3,293.7,Jan 1993 = 100
2023,4,295.4,Jan 1993 = 100
2024,1,295.6,Jan 1993 = 100
2024,2,295.5,Jan 1993 = 100
2024,3,294.8,Jan 1993 = 100
2024,4,296.3,Jan 1993 = 100
2025,1,293.9,Jan 1993 = 100
2025,2,295.8,Jan 1993 = 100
2025,3,300.7,Jan 1993 = 100
2025,4,304.2,Jan 1993 = 100
2026,1,303.4,Jan 1993 = 100
2026,2,309.6,Jan 1993 = 100
